STATENAME;STATE;AREA_FOREST
Texas;TX;260049
California;CA;138681
Montana;MT;104540
New Mexico;NM;100741
Arizona;AZ;75703
Nevada;NV;45501
Colorado;CO;92797
Oregon;OR;123606
Wyoming;WY;46667
Michigan;MI;140867
Minnesota;MN;76738
Utah;UT;75817
Idaho;ID;87769
Kansas;KS;10186
Nebraska;NE;6411
South Dakota;SD;7849
Washington;WA;97392
North Dakota;ND;3150
Oklahoma;OK;52138
Missouri;MO;63475
Florida;FL;86310
Wisconsin;WI;83089
Georgia;GA;103550
Illinois;IL;20460
Iowa;IA;12286
New York;NY;88849
North Carolina;NC;83257
Arkansas;AR;77557
Alabama;AL;95809
Louisiana;LA;71428
Mississippi;MS;81620
Pennsylvania;PA;69900
Ohio;OH;35897
Virginia;VA;69717
Tennessee;TN;57664
Kentucky;KY;51649
Indiana;IN;19864
Maine;ME;81987
South Carolina;SC;56551
West Virginia;WV;49583
Maryland;MD;12648
Massachusetts;MA;16557
Vermont;VT;19376
New Hampshire;NH;20419
New Jersey;NJ;9424
Connecticut;CT;7931
Delaware;DE;1757
Rhode Island;RI;1710
